size	Count
1024	6
1349	7
1226	8
1593	2
1039	6
2281	1
2133	5
1100	6
953	6
1206	7
242	4
1878	2
365	2
309	6
231	3
1468	8
1610	6
1090	8
942	4
241	5
2089	1
1912	1
359	2
1908	4
1433	3
1787	10
1771	34
957	9
2205	1
4255	1
232	5
210	1
1858	2
1780	6
538	4
2075	3
897	4
171	6
353	8
1669	8
218	3
757	5
1520	5
1235	10
1086	5
1325	4
374	3
1747	5
1537	2
217	2
852	5
3413	2
1368	15
2052	3
1522	4
1413	5
1130	2
228	2
1475	5
1725	5
2121	1
729	6
828	8
1260	18
1851	2
627	3
1278	8
952	8
1338	7
4119	1
1548	7
933	5
1921	5
1679	12
1968	5
2496	1
1312	3
2645	1
2377	1
1856	4
2069	4
2037	1
1934	2
1840	3
1843	3
1723	5
1583	6
1503	6
1360	9
1257	15
1136	5
2019	3
1635	3
606	4
1239	6
1081	5
1319	6
1165	8
1624	3
906	6
1298	7
996	6
1031	10
1116	4
781	6
1314	6
837	12
796	6
603	4
1232	8
1392	2
519	3
929	12
1818	11
2348	2
450	9
1185	12
393	8
2225	1
299	7
1252	8
3138	1
3107	1
2327	1
994	8
1726	4
1194	5
1159	5
909	3
963	5
3011	1
466	7
1525	5
1539	4
905	8
1361	7
2311	1
2531	2
1521	5
916	10
387	7
782	7
490	4
2036	1
1396	2
2200	4
586	9
841	11
2337	1
2598	1
2852	1
1330	6
741	5
1227	6
493	7
1438	4
620	3
1013	9
1477	5
1147	8
2365	5
566	4
378	3
5551	1
1304	8
1636	4
1401	5
1190	32
330	4
4015	1
990	6
2181	1
2432	2
2787	2
1411	3
825	10
1204	4
1035	7
716	5
1167	6
1249	10
2010	4
469	4
1465	5
1121	3
2015	4
2333	2
1309	12
163	3
322	6
830	7
4017	1
973	4
907	6
1125	8
410	4
1097	2
766	8
1137	2
1604	4
447	11
597	6
533	7
740	3
865	4
1062	3
3295	1
306	10
1510	5
823	6
733	5
1107	7
880	13
3256	1
636	4
1337	8
940	8
500	4
1998	3
430	5
783	5
3373	1
2583	1
446	9
4018	1
379	4
1924	2
2406	3
889	4
1006	10
1709	18
2136	4
464	6
2259	2
556	7
547	1
2114	1
1587	5
1627	3
