size	Count
1615	26
3504	4
2031	21
1577	18
3333	20
6475	2
1976	10
871	10
2904	11
3311	8
2161	14
1560	14
4185	8
3349	14
9336	1
2655	8
5623	5
911	17
8232	2
6829	4
1810	15
2795	7
6548	1
2152	20
3841	7
2191	14
4474	7
1661	294
3403	21
2511	10
1721	9
1630	23
3966	5
3688	28
8339	8
1574	15
2185	11
145	2
8203	2
1972	10
3674	66
4030	9
138	2
3419	46
3431	23
4124	10
4244	13
2835	10
4217	10
533	7
4516	18
1374	15
1626	26
1606	14
5531	3
2472	20
2485	10
3596	5
2532	70
4659	3
1494	8
2005	13
7812	3
6780	2
3160	14
2744	6
1186	12
1023	5
2111	12
4882	3
3368	28
2663	8
4434	15
3274	11
1592	16
1344	17
1635	19
4294	6
4344	5
2071	14
7736	3
4077	6
866	7
8150	3
6194	3
2624	5
3664	112
1289	16
1431	13
3546	6
590	6
3073	11
1042	6
3420	24
1022	8
4426	10
4459	19
1312	12
7433	2
5587	2
2529	29
3388	18
3838	4
1893	12
3604	9
2917	8
2495	12
2200	13
848	5
3655	7
7902	4
2672	11
8371	242
2080	16
1750	8
8634	3
1712	3
1811	9
3282	13
1820	14
6558	2
3451	667
612	2
1595	19
2513	21
8107	3
3768	3
1890	13
4484	11
605	6
4288	7
1859	16
3210	10
1073	6
1191	10
3358	11
4219	11
2455	14
1197	9
657	7
1911	12
5533	2
2447	19
182	1
1654	59
6537	3
2494	14
2087	14
501	13
8852	1
1347	16
2255	18
15321	1
1756	10
7330	3
9445	2
2564	12
732	5
5137	3
1611	11
8573	2
2901	29
1552	12
3300	11
2144	23
2265	16
8361	7
2865	8
3820	4
4779	5
4372	7
1488	10
6409	3
5482	4
2442	25
1437	14
3582	9
2326	18
3407	18
2510	15
5708	4
2386	10
1506	12
2440	23
1617	21
2964	6
4392	10
3389	17
1363	18
8635	2
2263	13
256	4
7521	5
2762	7
4943	3
4492	10
5996	2
4083	11
2530	49
2952	9
497	6
2874	9
4412	4
340	9
2088	9
4358	6
2314	9
2703	9
2919	5
2946	7
1457	11
5093	2
2252	21
467	6
1351	22
3028	11
2492	14
3433	16
2349	11
1823	9
1325	11
8123	1
6163	5
1241	13
3346	22
3691	65
1593	19
1516	19
4534	17
3576	10
10808	1
3331	12
3175	19
1858	9
2789	16
1234	11
1937	8
2572	12
8262	7
4148	13
3272	9
2864	7
2204	8
830	8
602	11
2357	8
2638	9
1644	28
3637	2
1335	11
3152	11
4469	5
3792	3
7438	6
3684	11
3533	9
1705	9
3483	9
3196	6
3601	4
3190	8
2168	29
5608	2
2202	10
3381	19
1622	19
3374	23
1653	61
6908	2
1954	10
1864	7
7338	4
2307	13
3554	8
4791	4
7392	1
2420	8
2641	8
3042	13
3369	14
4519	14
2157	17
4167	10
1620	20
1167	9
3428	22
1638	26
7215	3
2869	8
2602	11
9278	1
7178	1
1367	20
3408	17
3092	10
1744	9
11692	1
1781	7
8092	3
8254	4
2199	13
580	6
2154	23
889	8
1261	20
3295	8
7963	7
4675	6
5260	2
4253	3
7983	5
4281	8
3116	15
6198	2
4975	11
8005	7
4588	3
1915	14
7996	9
3150	13
4240	9
4277	11
7191	3
3158	9
3195	6
3396	13
3193	3
4212	6
7997	5
2214	9
1196	5
10579	2
2181	18
4232	6
7987	8
8013	4
546	3
3077	22
4382	6
3251	9
4264	7
1292	20
1309	14
2353	12
3050	11
2374	13
4561	30
1730	6
1413	13
1951	16
3188	13
3289	13
1496	12
1409	3
4250	11
1320	14
2251	13
3606	6
2441	15
3049	12
8061	5
3334	19
2228	10
1353	14
8073	6
8003	6
3072	12
2382	14
5100	4
2451	19
1389	8
8297	6
1448	11
4248	9
2400	7
1324	18
3283	14
5021	2
3660	30
2825	9
3436	24
4913	4
6957	1
3712	8
6905	7
8730	2
3058	18
1301	28
1370	11
5128	6
1999	14
2261	20
2266	15
4058	5
2476	7
3243	5
8877	5
8951	1
625	6
5668	1
2905	14
4723	3
4539	199
2832	11
1462	13
2287	6
629	8
4565	10
2981	10
2248	13
6891	3
1461	10
3294	12
8390	6
2765	11
2821	9
2834	11
2913	8
2426	7
2809	11
9272	1
3122	25
3442	30
2971	9
7616	3
1838	13
1764	10
3940	6
4867	3
3338	20
3326	15
196	3
4143	8
4282	6
4158	11
2816	11
3011	13
1154	12
990	12
382	7
3598	12
2475	13
948	7
3270	7
1373	11
3900	5
3939	6
2520	18
2170	45
3784	5
1520	9
2355	14
2218	15
324	2
3405	13
2680	7
7546	2
5570	2
3575	7
4000	5
2986	6
431	7
3206	9
2465	25
5176	4
4002	5
3257	7
2392	16
