size	Count
3419	40
3431	21
4124	6
4244	7
2835	6
4217	7
533	2
4516	16
1374	11
1626	15
1606	6
5531	1
2472	13
2485	7
3596	3
1494	3
2005	9
7812	2
6780	1
3160	9
2744	3
1186	7
1023	1
2111	4
4882	1
3368	18
2663	7
4434	6
3274	4
1592	10
1635	16
4294	5
4344	3
2071	7
7736	3
4077	1
8150	2
6194	1
3664	111
1289	7
1431	9
3546	1
3073	6
1042	3
3420	23
1022	3
4426	4
4459	3
1312	6
7433	2
5587	1
2529	25
3388	15
3838	2
1893	5
3604	3
2917	2
2495	10
2200	7
3655	7
7902	2
2672	4
8371	241
2080	9
1750	6
8634	3
1712	2
3282	7
1820	8
6558	1
3451	666
612	1
1595	12
8107	2
3768	1
1890	7
4484	8
605	4
1859	7
3210	7
1073	3
1191	3
3358	5
4219	7
2455	9
1197	4
657	3
1911	6
5533	2
2447	12
1654	51
6537	1
2494	11
2087	9
8852	1
1347	7
2255	13
15321	1
1756	3
7330	3
9445	1
2564	9
5137	2
1611	8
8573	2
2901	24
1552	6
3300	8
2265	13
8361	6
3820	3
4779	4
4372	2
1488	6
6409	1
2442	20
2326	14
3407	15
2510	10
5708	2
2386	9
1506	5
2440	11
1617	15
2964	3
4392	7
3389	15
1363	12
8635	1
2263	10
7521	3
2762	4
4943	2
4492	8
4083	3
2530	44
2952	6
497	5
2874	7
4412	1
340	1
2088	4
4358	2
2703	5
2919	5
2946	4
5093	2
2252	15
3028	5
2492	8
3433	15
2349	3
1823	7
8123	1
6163	1
1241	6
3346	9
3691	63
1593	14
1516	10
4534	15
3576	4
10808	1
3331	7
3175	13
2789	13
1234	6
2572	9
8262	3
4148	10
3272	5
2864	4
2204	6
602	5
2357	5
2638	6
1644	20
3637	2
1335	7
4469	4
3792	2
7438	1
3684	10
3533	4
1705	7
3483	3
3601	2
3190	6
2168	24
5608	1
2202	9
3381	12
1622	12
3374	11
1653	52
6908	1
1954	6
1864	3
7338	4
2307	8
3554	3
4791	2
7392	1
2420	3
2641	5
3042	7
3369	9
4519	10
2157	9
4167	6
1620	18
1167	4
3428	19
1638	18
7215	1
2869	4
9278	1
7178	1
1367	11
3408	15
3092	7
1744	4
11692	1
1781	5
8092	2
8254	2
2199	10
580	3
2154	17
889	1
3295	5
7963	3
4675	3
5260	2
4253	1
7983	5
4281	2
3116	11
6198	2
4975	3
8005	4
4588	2
1915	11
1650	23
7996	5
3150	11
4240	4
4277	7
7191	2
3158	5
3195	2
3396	11
3193	3
4212	2
7997	4
2214	4
1196	2
10579	1
2181	12
4232	2
7987	4
8013	4
546	2
3077	14
4382	3
3251	5
4264	5
1292	12
1309	7
3050	7
2374	10
4561	27
1730	2
1413	6
1951	12
3188	8
3289	8
1496	5
1409	1
4250	8
1320	8
2251	9
3606	2
2441	10
3049	5
8061	4
3334	5
2228	6
1353	9
8073	5
8003	3
3072	4
2382	8
2451	14
1389	3
8297	4
2630	6
1448	6
4248	6
2400	4
1324	8
3283	7
5021	1
3660	29
2825	7
3436	19
4913	2
6957	1
3712	3
6905	4
8730	1
3058	15
1301	14
1370	6
5128	3
1999	10
2261	17
2266	9
4058	1
2476	5
3243	3
8877	5
8951	1
625	1
5668	1
2905	9
4723	2
4539	195
2832	6
1462	7
2287	5
4565	9
2981	7
2248	11
6891	1
1461	3
3294	10
8390	5
2765	7
2821	3
2834	7
2913	6
2426	4
2809	7
9272	1
3122	15
3442	27
2971	5
7616	2
1838	8
1764	4
3940	4
4867	1
3338	5
3326	10
196	3
4143	3
4282	3
4158	7
2816	5
3011	8
1154	2
990	1
382	1
3598	6
2475	12
948	3
3270	3
1373	6
3900	3
3939	1
2520	15
2170	37
3784	3
1520	3
2355	5
2218	11
3405	8
2680	2
7546	1
5570	1
3575	4
4000	1
3206	5
2465	18
5176	1
4002	1
3257	3
