size	Count
1630	3
2794	1
2869	2
1067	1
1974	1
1592	5
1682	2
304	3
3574	1
1534	2
1365	2
1287	4
1740	2
549	6
816	14
1104	4
1495	4
3188	1
1616	2
417	7
528	6
1582	1
1085	4
1186	6
980	6
998	10
2083	3
3565	1
1047	6
1040	8
1149	1
1187	3
923	4
1324	2
1905	2
2249	2
2116	3
1315	7
1290	6
1925	4
648	11
1026	4
1297	8
604	5
1313	5
3401	1
239	9
1317	4
565	9
501	6
1589	6
879	7
840	14
1046	4
1271	4
599	11
1154	5
1280	1
1256	3
1321	5
857	21
1232	10
1072	3
1031	2
1578	4
1274	4
1205	6
1296	5
279	7
2136	1
1224	4
891	7
1295	5
1239	8
1328	5
1593	3
1293	6
1007	4
2054	5
818	15
1275	2
476	3
1320	4
1289	4
1037	6
2507	4
1015	2
1266	4
2102	1
1301	2
933	6
1222	7
252	11
1199	4
1241	11
893	3
551	6
1325	3
567	4
1577	2
1594	3
623	4
775	20
1288	3
1824	2
1282	1
885	11
3117	4
1291	5
800	12
218	5
1213	7
526	7
902	4
1249	4
753	8
1238	5
1151	2
938	6
1286	7
769	7
1259	2
1264	3
1284	5
1225	3
766	7
1105	5
1237	4
1252	5
874	8
1045	5
1111	4
2554	1
1090	2
809	11
1009	3
1216	4
1163	5
860	6
919	6
1476	1
542	10
3502	1
1483	1
3304	1
1078	6
2232	1
1791	1
1637	2
2710	1
1261	6
797	16
1242	7
903	6
1298	6
1033	6
1192	3
1010	5
1253	5
509	6
1278	4
2403	1
1375	3
1446	1
1304	4
880	10
1193	5
1055	5
983	8
1196	3
507	8
1008	5
733	12
198	10
1255	5
1056	6
1178	3
1251	3
949	5
536	8
1048	6
1159	7
1233	8
1203	5
1173	5
1437	3
957	1
1212	9
836	14
882	7
1796	2
1134	5
3558	1
1345	3
1100	4
1220	5
1652	3
762	11
1227	8
233	7
1425	6
524	6
2024	2
1276	2
261	5
1378	4
1157	3
208	10
1023	7
474	10
1144	1
792	9
1265	1
2503	1
1021	7
1643	5
1043	5
4064	1
1691	2
676	5
1434	2
202	7
851	14
1214	4
828	16
1143	5
1732	4
1170	6
972	6
2013	2
1189	4
1171	5
658	6
1210	3
1665	5
1949	2
1188	3
1156	6
1175	8
1207	5
1110	2
1402	7
1907	2
1202	2
1174	6
1168	5
1403	2
1119	5
1516	5
1005	2
1200	5
1226	5
781	16
1112	3
1211	5
1204	4
1219	4
856	4
787	15
796	10
801	11
1052	4
1185	5
1413	7
750	13
1136	3
744	7
1118	2
1142	2
1012	6
791	10
737	9
462	4
136	2
220	12
1431	5
841	13
1917	3
1127	6
1044	5
1708	3
728	9
1062	7
714	4
1059	3
1720	5
1349	4
1908	2
1588	2
1230	4
224	8
843	9
1096	4
1120	1
1066	6
1421	5
1003	4
1667	2
641	1
1130	7
1106	7
1806	2
1115	3
1739	3
1367	5
1032	5
959	4
768	7
838	10
764	12
1426	1
1129	3
1525	1
965	4
1074	5
668	8
830	18
1051	5
1070	6
771	7
815	13
1020	4
1054	5
1022	9
1042	6
1064	4
1034	6
1024	4
625	4
185	4
986	7
2725	2
322	4
1670	2
827	13
3179	1
2589	1
1417	4
1756	1
1458	2
931	5
997	8
960	5
755	12
216	11
188	5
207	12
269	7
206	12
939	3
866	10
105	1
134	1
268	14
981	8
212	8
222	7
355	10
605	13
209	8
277	8
201	8
291	16
132	4
251	10
1035	5
204	5
1759	4
199	7
203	7
165	4
248	6
234	5
678	4
1137	2
215	11
1079	4
125	3
310	9
2423	2
211	5
193	4
243	5
2775	4
368	9
170	3
195	7
231	8
141	2
1081	4
280	9
225	2
942	4
158	2
629	4
2466	2
989	5
1583	1
711	8
172	5
189	2
258	10
2227	1
219	6
129	1
1718	4
1447	3
1177	2
183	3
237	2
2998	1
309	8
1514	3
963	5
365	9
790	8
881	5
157	1
221	7
2551	1
953	4
899	4
850	15
169	3
114	3
249	2
148	2
162	3
922	4
245	5
190	7
153	1
872	6
819	13
886	2
814	12
895	4
912	7
867	9
776	9
835	15
901	5
875	6
1648	1
2527	2
3315	1
504	3
3669	1
731	8
861	7
852	15
855	13
847	8
1038	4
1310	6
3573	2
763	12
798	5
813	16
859	3
808	11
751	11
795	5
742	8
265	5
806	18
810	13
717	10
3578	1
773	6
905	7
1453	4
839	18
865	6
2964	2
3368	1
2539	3
788	16
614	8
760	9
812	10
692	5
774	8
877	2
1377	3
780	10
702	6
1027	5
2396	2
1161	3
628	5
3692	1
2228	1
817	13
633	8
1165	5
757	7
647	3
3131	3
3126	2
652	10
687	6
2302	2
699	5
348	8
2339	1
745	8
794	4
723	6
754	7
700	4
3492	2
917	9
3119	1
898	6
1342	4
1041	4
862	7
706	3
3039	2
716	9
727	7
664	4
1250	4
2553	2
1899	3
1574	2
3515	1
1361	4
1967	3
3041	2
1121	10
748	6
735	6
2706	1
709	4
2260	4
3749	1
1257	6
1319	2
1456	3
1820	2
1599	3
2474	4
1145	2
1400	3
2426	4
3291	1
697	10
3221	1
2953	2
2914	2
3356	1
2205	5
2206	2
1443	3
987	2
1340	3
1561	2
2229	2
3313	1
3365	1
2762	2
2253	2
2549	2
1744	3
1877	2
3214	1
3024	1
2020	4
1221	5
2782	3
1229	2
873	8
2906	2
1013	5
2754	3
1102	6
1673	2
2689	1
2886	3
2049	1
2948	1
4308	1
3596	1
2161	3
1244	2
3035	4
1235	3
1735	2
1153	2
2835	5
3022	1
2386	1
3248	1
2558	2
2568	2
1077	4
1601	3
2613	2
2743	2
2265	1
2248	2
2030	3
2753	3
2777	2
2924	2
1234	4
1231	3
2275	6
2327	2
2839	2
2819	1
2345	2
3152	2
1982	3
995	6
1944	1
924	5
2523	2
3217	1
1160	4
3129	1
1243	2
1058	4
1215	4
1132	4
3173	1
2506	2
1190	3
2879	1
1886	1
1011	1
1617	1
2561	4
1095	5
3297	2
1541	4
1947	1
2310	2
1861	4
906	9
2418	1
3130	2
1570	4
2771	2
2268	2
1970	1
1448	6
3391	1
2270	2
1114	4
1001	5
3147	1
1898	1
3151	3
968	8
2355	2
2076	2
3145	1
2824	2
2817	4
2959	2
2822	4
1088	3
2877	2
1339	2
3076	2
2604	1
1505	1
2369	1
1248	2
2329	1
2633	2
3144	1
2120	2
1019	6
2825	6
2830	2
3104	2
2626	1
1640	2
1478	2
2263	3
1126	2
3180	2
3336	1
1109	4
3146	1
2462	2
2679	2
3009	2
2498	3
2966	1
2363	1
1039	3
954	5
2669	2
944	6
1940	2
1850	2
920	3
927	2
3016	2
2010	3
2786	4
3071	2
1536	2
990	4
1983	1
2504	3
2420	1
1063	7
3087	1
2565	1
985	4
3125	2
3120	1
1057	3
1162	5
684	7
3128	2
2245	4
2845	3
2225	2
3085	2
982	1
1897	2
2991	2
2637	1
3140	2
3834	1
2752	5
2274	5
2789	3
3148	1
2723	3
3143	1
2865	2
1002	3
3002	2
914	5
2552	2
1101	3
907	5
1830	2
1610	2
2827	1
2280	3
2833	1
925	5
2688	2
1714	5
2573	1
3276	1
3232	1
2544	1
1645	4
3074	2
2851	6
3029	1
2890	1
1000	3
2837	3
3238	2
3191	3
1747	2
3042	1
2967	1
2776	5
2446	1
2550	3
1751	3
2283	4
2282	2
3047	2
909	6
3018	3
2863	3
967	6
929	2
2821	2
3090	1
3272	1
3040	1
3142	1
2885	2
3113	1
1303	2
2266	4
2823	2
2859	1
3123	2
3044	1
2256	2
3050	1
3091	1
2975	1
1014	4
2510	1
2892	3
1888	2
3007	1
4561	1
3064	1
1080	3
1984	2
2068	4
3045	1
3021	1
1793	4
2475	1
1855	3
892	7
3048	1
3122	2
2768	3
1895	2
846	4
3014	2
3109	1
2480	3
2470	2
3032	2
2469	1
2340	3
3017	2
2843	4
2981	1
2477	3
1352	1
155	1
2660	2
3054	2
974	1
2444	2
2933	3
2522	2
1734	2
2500	2
1543	2
908	6
894	6
1809	2
1866	1
1833	1
2922	2
2590	2
2836	3
2841	3
4280	1
2915	3
2829	2
1618	4
3015	1
2778	2
2279	3
3647	1
4443	1
2192	6
2889	4
2850	1
3028	2
2815	1
2842	3
2542	1
1865	1
1695	2
2255	3
746	4
2791	4
1731	3
918	2
1606	4
2938	1
2905	1
2673	1
962	7
2971	2
2528	3
2235	4
928	5
690	4
2989	1
1351	1
3003	1
2978	2
2365	1
2884	1
2874	4
871	4
3020	2
3135	1
2923	1
2687	2
1585	4
2537	1
3058	1
2881	2
1389	2
2416	1
2937	2
2309	1
3043	2
2947	1
2918	1
3709	1
3092	1
913	4
2912	1
1477	6
2511	1
2993	1
3275	1
2887	1
2816	4
2853	1
2563	1
3213	1
639	4
2893	1
2314	2
299	10
242	4
2764	1
1819	5
1307	4
2341	2
2904	1
3089	2
1522	1
1565	2
654	2
2562	2
3253	2
1373	1
1854	3
1420	2
1994	1
1715	4
2729	3
2910	2
1921	2
2808	1
1768	3
1596	3
4260	1
1620	3
152	2
161	2
1510	4
2735	3
2328	4
2928	1
2956	1
1480	4
2684	2
1684	5
3354	1
1651	4
2979	1
730	7
1603	2
1619	2
2652	3
2349	1
930	6
3101	1
2008	1
2084	3
2157	1
128	1
2608	4
1068	2
2479	2
2556	2
2038	3
2485	1
2450	2
1517	1
163	1
1624	2
2623	1
2242	2
1366	1
1782	2
1581	1
1455	2
1484	3
2716	2
1622	6
1998	3
1814	2
2726	2
2458	2
2693	3
2442	3
2634	2
2448	1
1564	1
1433	5
1277	3
2598	2
2800	2
715	5
3287	1
2677	2
2036	2
2793	2
2709	2
2990	2
1302	2
2413	3
1401	2
1360	4
2089	2
2091	2
3958	1
1432	4
2261	2
2585	2
2509	1
2129	2
2592	2
2190	2
1629	4
2056	2
669	4
2099	1
149	4
2441	1
2432	2
2015	4
2611	2
2042	4
2473	1
2047	2
2022	1
2536	3
1980	2
2597	2
2538	1
2325	3
1776	1
2582	2
694	8
1926	4
3960	1
2160	4
2478	3
2455	2
1396	1
2742	5
2516	1
1268	1
2296	2
1519	1
2674	1
1653	1
1797	1
1938	1
2460	1
2417	2
1896	1
1018	3
1571	3
2650	2
2387	3
2648	1
1869	1
2169	2
2044	1
2224	1
1513	1
3157	2
2350	3
1827	1
2367	1
2043	2
1634	2
1778	1
1790	3
2072	3
1712	5
2052	1
1528	2
1337	3
958	5
2531	1
1183	3
2164	3
1770	1
1006	4
2335	1
2203	2
2293	1
2208	3
1675	3
2336	1
2070	2
2318	2
1492	2
1872	2
1789	4
2324	1
2241	3
2061	3
1469	5
2290	1
2185	4
2121	2
2011	2
1973	1
2071	1
1730	5
2219	2
889	5
1654	1
1663	3
2299	3
2216	1
4903	1
2251	3
1091	4
1956	1
1835	1
1371	1
1859	2
1831	1
2155	1
1116	1
1569	1
1928	2
1572	1
2294	3
1817	2
1719	2
4307	1
1950	2
1775	2
1464	4
1811	2
1481	2
1808	1
1368	1
2094	2
2037	1
1388	3
3325	1
2375	2
1644	2
2422	2
1625	2
1976	1
