size	Count
1408	1
142	1
398	1
1462	1
424	1
286	1
684	1
1070	1
754	1
1520	1
1031	1
1418	1
878	1
1341	1
1030	1
408	1
389	1
403	1
782	1
373	1
1130	1
337	1
302	1
1368	1
359	1
1409	1
649	1
696	1
347	1
1090	1
1097	1
984	1
1397	1
1377	1
1156	1
561	1
1343	1
1200	2
1220	1
1256	1
1128	1
598	1
1112	1
998	1
970	1
817	1
977	1
724	1
744	1
666	1
670	1
329	1
585	1
546	1
